N,P,K,temperature,humidity,ph,rainfall,label
26,9,32,25.9490364,94.73860514,6.470465614,144.15711090000005,coconut
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,mango
1,8,26,27.5136304,94.18955816,5.562911913,156.6732553,coconut
0,55,22,22.98666928,20.57940608,5.916779289,143.85849380000005,kidneybeans
112,28,54,24.86094646,85.05318563,6.738030547,55.29563514,watermelon
10,75,17,18.43966037,68.05394959,7.732194787999999,39.00992137,lentil
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean
36,76,75,18.38120357,16.63805158,8.736337905,70.52056697,chickpea
22,30,12,15.78144173,92.51077745,6.354006743999999,119.035002,orange
11,72,22,29.37735586,44.82294584,6.842744374,172.40168,pigeonpeas
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
75,41,35,24.97042599,78.62697699,6.856833064,166.6415254,jute
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,mango
112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,banana
18,125,203,22.44307715,91.59234006,6.160267496,102.5565807,apple
31,62,52,33.7960155,93.00754254,6.99104104,182.026807,papaya
8,72,17,20.57341244,19.7520218,5.711439256,87.87869161,kidneybeans
34,73,15,20.97195263,63.83179889,7.630424082999999,53.10207889,lentil
56,76,16,28.27265858,61.18956161,7.5131510760000015,63.29900785,blackgram
81,30,31,24.65090184,51.93952357,7.027585558999999,135.1386537,coffee
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,blackgram
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
37,30,34,27.53907547,53.63549533,6.797779227,99.35408185,mango
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
34,16,25,30.07202564,50.96040505,6.10729559,92.09609766,mango
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,lentil
9,77,17,20.12373284,24.45202552,5.783425416,106.158201,kidneybeans
90,86,52,25.85036988,81.95580471,5.793260262,119.08561709999998,banana
117,26,30,27.92374437,67.96910852,7.079850922,115.2325531,coffee
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
36,57,16,28.61409059,57.14218792,8.292875733999999,57.02891698,mothbeans
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon
111,29,31,26.05968403,52.31098539,6.136286518,161.3432535,coffee
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,coffee
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
52,51,53,38.38231475,93.10378595,6.985804083,210.2735346,papaya
91,24,55,26.27061608,83.09194521,6.259086582999999,46.76837499,watermelon
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
38,68,54,29.33710543,90.81781439,6.739170045,202.0572747,papaya
67,41,40,25.84879500000001,87.81661683,7.333143205,152.6194403,jute
8,33,29,29.98080499,49.48613279,6.442393461,91.82271568,mango
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute
12,67,23,25.62896213,63.14909763,6.585020302999999,45.49683991,lentil
35,55,22,30.88883074,52.62696801,8.634929739,55.51932414,mothbeans
93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana
69,47,40,25.37122686,76.2403666,6.130136384,183.8270791,jute
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
35,71,17,29.89286629,66.35375127,6.931924962999999,198.1403003,pigeonpeas
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
29,8,28,26.87037587,91.72546257,6.100429497,214.4128874,coconut
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,pigeonpeas
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,coffee
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
88,35,35,27.55906475,58.45742907,6.784460602,117.9389993,coffee
18,55,23,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas
98,8,51,26.1793464,86.52258079,6.25933595,49.43050977,watermelon
25,22,25,33.56150184,45.53556603,5.977413802999999,95.70525913,mango
17,56,17,27.94293692,45.41393636,5.9565851,69.66289997,mothbeans
4,6,7,23.01014302,91.11764246,6.708889665,112.6738296,orange
10,79,18,21.0643684,55.46985938,5.624731337999999,184.6226709,pigeonpeas
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
27,64,15,20.16080524,24.84207559,5.514927264,138.2362122,kidneybeans
14,23,25,26.18552389,96.96637916,5.6121227970000005,135.4186222,coconut
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
39,69,53,25.9300384,93.02357765,6.964955435,241.8202079,papaya
112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,watermelon
31,137,196,22.14464104,93.82567435,6.400321212000001,120.6310784,apple
7,79,23,19.6365349,19.68751084,5.821649914,96.65888933,kidneybeans
42,60,47,33.46873719,92.12746225,6.834808347999999,136.8277041,papaya
7,56,23,26.33908791,40.00933429,5.545219232000001,55.50429227,mothbeans
17,59,17,18.416700100000003,23.42829938,5.689858133,132.9801054,kidneybeans
4,44,19,27.95639663,83.52706038,6.921993877999999,43.25726752,mungbean
18,79,20,20.27514686,23.2353604,5.877347515,139.7521543,kidneybeans
13,8,12,25.16296632,92.54736032,7.105904818,114.3117197,orange
111,32,34,25.46743689,69.35161206,6.392048018,171.37644619999998,coffee
40,21,8,34.90665289,92.87820148,7.418761774,102.1906333,orange
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
22,55,24,28.56800579,57.30636014,8.66077954,64.53027638,mothbeans
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,mungbean
65,39,45,23.66805429,70.89000744,6.768001309,184.4633281,jute
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans
6,37,17,28.08657178,80.35005927,6.760694227999999,38.14476781,mungbean
26,10,33,28.27298134,96.93649473,6.07071786,198.8234862,coconut
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon
20,60,25,27.3254209,69.09047809,6.726469087999999,61.19250859,blackgram
39,64,52,28.91842453,94.63676767,6.678695788,63.68794608,papaya
92,85,51,29.22118628,81.08183635,5.740764682000001,108.8616474,banana
33,15,7,15.83388699,91.68293851,7.651225301,109.7571416,orange
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
61,68,50,35.21462816,91.49725058,6.7932454170000005,243.0745066,papaya
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,blackgram
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,mango
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,mango
14,74,15,27.99990346,65.57653373,6.493036868,49.94043064,lentil
24,70,21,19.14729038,45.3733757,5.517208078,132.7748215,pigeonpeas
3,56,17,28.19912143,53.50567601,8.709291687999999,52.13580529,mothbeans
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize
33,59,19,23.19305333,62.74710773,7.641024177,49.55213308,lentil
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice
56,67,78,17.57445618,16.71826572,8.255450758,77.81891424,chickpea
110,7,45,26.63838589,84.69546874,6.189213927000001,48.32428609,watermelon
38,38,18,26.31051759,61.18749126,6.294130312999999,35.73403813,mothbeans
23,75,25,31.07508973,47.19847683,7.077170002000001,91.31256412,pigeonpeas
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans
88,52,39,23.92887902,88.07112278,6.880204617,154.6608736,jute
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram
65,54,39,23.75091572,71.14782585,7.124571593,160.0889553,jute
14,22,9,17.24944623,91.13772765,6.543191814,112.50905159999998,orange
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
85,33,25,26.20811417,52.50987966,6.910823945,189.0944824,coffee
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize
43,64,47,38.58954491,91.58076549,6.8256647820000005,102.2708231,papaya
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,coffee
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans
22,36,16,30.58139475,50.77148138,8.18422855,64.58559639,mothbeans
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
39,29,29,26.50908611,94.48414544,6.143662699,199.8778403,coconut
29,17,29,29.20394909,95.66997327,5.959493188,211.2506267,coconut
21,21,30,27.69819273,51.41593238,5.403908327999999,100.7720705,mango
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,mungbean
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea
31,20,30,32.17752026,54.01352682,6.207495815,91.88766069,mango
27,80,15,19.07096165,21.21092266,5.7883869510000014,86.21917578,kidneybeans
89,85,55,26.671983500000003,76.48541655,6.275384607,91.73358569,banana
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram
20,8,12,25.2990432,94.96419851,7.260416405,117.9733424,orange
76,56,39,24.39459498,89.89106506,6.551130445,197.1220049,jute
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize
16,14,30,29.70931288,96.30484325,6.37466756,209.84539930000005,coconut
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,coffee
95,16,55,25.26931156,87.55055105,6.612847999,40.12650421,watermelon
3,141,197,21.98141856,91.12719303,6.142803397000001,115.4789148,apple
5,23,15,25.66901098,92.04670813,7.408939392000001,112.5424199,orange
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
109,10,53,26.81938687,87.8274604,6.5517503060000015,46.06193778,watermelon
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,jute
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
104,20,26,27.22783677,52.95261751,7.493191968,175.7260273,coffee
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
74,49,38,23.31410442,71.4509053,7.4880144039999985,164.49703730000004,jute
28,23,28,30.01821337,50.09831810000001,5.676032581,96.08745082,mango
2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,apple
2,140,197,22.69780133,92.82223419,5.53456749,105.0508234,apple
27,74,20,24.69487673,59.96669215,5.8598134160000015,91.95792434,pigeonpeas
30,70,79,20.26942271,19.96978871,7.313122235,69.64449182,chickpea
89,25,34,23.07895447,63.65861483,7.184801627000001,129.8765443,coffee
10,79,20,24.98287462,66.895409,6.379881442,38.21370568,lentil
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean
42,59,55,40.10207731,94.35110201,6.979102243,149.1199989,papaya
0,23,15,22.56664172,93.37488907,7.598729065,109.8585753,orange
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram
10,24,27,27.57283516,94.90485697,5.7084096010000005,145.9298935,coconut
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
14,69,19,20.95628486,63.68128841,7.239455147,52.39881209,lentil
113,30,50,26.03967219,83.9862443,6.277484042999999,43.87712348,watermelon
101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
1,6,35,27.02269204,95.71935435,6.231662767,147.16824590000004,coconut
118,18,32,27.6496114,51.11044023,6.351823783,122.8392822,coffee
91,21,50,24.33528185,81.44030363,6.762030215,48.32113628,watermelon
39,70,52,26.26559543,90.79668055,6.65149129,59.49373381,papaya
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
5,136,195,22.35628673,91.92360477,6.264202804,107.7697413,apple
93,81,50,27.71822477,76.57853189,6.0360792660000016,102.2099836,banana
91,41,37,24.48556447,83.20630007,6.132570522999999,192.2316221,jute
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
37,126,196,23.59997268,90.97597665,5.596449493,107.17281909999998,apple
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana
37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,lentil
29,78,25,19.95991719,59.33157782,5.982854522999999,195.787103,pigeonpeas
26,51,25,28.76488954,52.62741529,7.792508067999999,55.21606732,mothbeans
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,lentil
117,76,47,25.56202173,77.38229006,6.119216009,93.10247183,banana
36,26,26,30.17294105,51.0845903,6.814630246,95.23444287,mango
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea
28,59,22,30.90607799,52.79913039,7.05181629,170.99198280000005,pigeonpeas
35,57,25,27.0956288,42.26206161,8.340398059,71.12710390000002,mothbeans
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,jute
34,56,17,33.4126864,35.42910045,4.548202098,139.6702541,pigeonpeas
30,137,200,22.91430043,90.70475565,5.603413172000001,118.6044645,apple
108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana
31,130,198,21.80129837,92.73446667,5.554823557000001,120.05866709999998,apple
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans
10,44,24,30.99256944,43.02151392,8.0344125,58.27600682,mothbeans
7,77,18,20.5591255,60.54880693,6.655918077999999,191.0895109,pigeonpeas
62,56,35,25.97825807,81.65769588,6.235357637999999,163.3488091,jute
14,67,25,25.28710601,60.85993533,7.241151936,49.37369982,lentil
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
37,77,20,25.93381964,68.70533022,7.080506001,51.02372773,lentil
23,21,26,26.45488737,93.45042636,5.901495543999999,149.2220255,coconut
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,blackgram
56,59,55,37.03551903,91.79430166,6.551892637999999,188.5181422,papaya
24,80,22,16.71170642,19.17651433,5.635993966,96.77285817,kidneybeans
27,24,29,26.61423461,96.97300803,6.142010637,191.006688,coconut
7,16,9,18.87957654,92.04304496,7.813916602999999,114.6659511,orange
2,120,203,23.12652652,94.71203306,5.893492998999999,108.62118329999998,apple
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
52,73,79,17.25769499,18.74943955,7.840339388999999,94.00287214,chickpea
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean
90,86,55,27.96236771,84.15403614,5.644486582000001,97.55986676,banana
66,47,36,24.85441411,74.44070479999998,6.57256106,175.572958,jute
18,19,27,27.75518664,52.34605806,4.772385986000001,94.11213345,mango
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,mothbeans
32,11,31,29.51611558,92.56492864,6.461225827000001,131.2116167,coconut
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,coffee
33,75,84,19.46210401,18.72831993,7.217018459,68.81405149,chickpea
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,mungbean
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,mango
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
17,11,32,28.74013335,93.39676499,5.620733794,156.76508230000005,coconut
101,13,54,25.42900869,82.91481799,6.828982708,56.34144589,watermelon
86,26,27,27.13140403,52.89368299,6.081172981,192.4280381,coffee
45,57,47,23.16855863,90.78821158,6.656458831,161.68920930000004,papaya
14,59,22,23.82723528,67.89815262,6.76660668,46.90725077,lentil
36,58,25,28.66024187,59.3189118,8.399135957999999,36.92629678,mothbeans
34,65,47,23.48546973,93.71043692,6.833768535,191.7760562,papaya
36,65,16,25.71269843,64.1123333,7.692013657,50.17067771,lentil
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
89,41,38,23.12844351,74.68322732,6.344751947000001,199.83629130000003,jute
19,122,202,23.34467359,90.37981478,5.811975094,112.8954016,apple
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,blackgram
12,27,26,29.09382275,45.5661059,5.32307197,96.23520043,mango
34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,kidneybeans
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,lentil
60,58,37,26.13871511,79.1188943,6.067302109,171.4892533,jute
44,60,55,34.2804607,90.55561637,6.825371185,98.54047745,papaya
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
87,28,30,25.60153969,68.66257977,6.536676653,168.8383605,coffee
26,24,34,31.27180992,52.23810152,6.811291098,89.74409017,mango
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
19,7,9,27.255435,91.71369387,6.969883482999999,101.139435,orange
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
49,61,45,32.76795887,94.57377401,6.764213299,240.4795923,papaya
5,65,19,18.28072173,68.10365387,6.978361689,48.80253285,lentil
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
19,30,30,29.56549169,91.40896307,5.826381164,224.83157290000003,coconut
94,37,41,24.7634518,87.06071115,6.4635387070000005,179.1630865,jute
33,14,8,21.03200078,92.9641969,7.684420446,110.6823944,orange
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea
102,71,48,28.65456263,79.28693687,5.695267822000001,102.4633775,banana
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram
84,39,35,23.17714381,52.13864034,6.959404135,117.3113562,coffee
97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,coffee
7,40,17,31.2123945,40.92604945,8.532078732999999,53.78769958,mothbeans
91,25,26,24.53460016,66.99765375,7.482414225,180.5059257,coffee
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
100,32,26,25.234661,57.53161469,6.043485685,124.2261737,coffee
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,blackgram
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,mango
12,39,21,28.99319096,62.85948245,8.183844843,70.4713043,mothbeans
24,142,202,22.53779727,91.48135786,5.710819862,101.8474768,apple
90,14,52,24.84740848,89.20454622,6.391858432,59.67927244,watermelon
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,mungbean
81,40,45,25.7629429,80.76238215,6.427726565,174.5071843,jute
59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,chickpea
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,blackgram
7,73,25,27.52185591,63.13215259,7.28805662,45.20841071,lentil
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
104,35,28,27.51006055,50.66687215,6.983732393,143.9955548,coffee
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
80,77,49,26.05433004,79.39654531,5.519088423,113.2297373,banana
119,30,28,26.35770906,64.57578034,6.5052036960000015,163.62694960000005,coffee
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,coffee
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
61,41,35,24.97178693,79.47557931,6.842966478999998,195.7571622,jute
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram
8,7,10,28.2620488,91.98317355,6.929216014,105.2132259,orange
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,blackgram
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
16,143,197,22.61711614,93.51978375,5.90402645,116.9256766,apple
26,35,31,33.44619894,53.05980465,5.339556562,98.05089394,mango
57,56,78,17.34150229,18.75626255,8.861479668,67.9545435,chickpea
78,50,43,25.12417673,85.72530641,6.348441469,159.5718087,jute
68,69,52,25.65492304,92.74501561,6.813383387000001,52.95477913,papaya
22,64,82,19.48974337,17.17260319,6.4740245000000005,87.51312796,chickpea
17,16,14,16.39624284,92.18151927,6.625538653,102.944161,orange
27,60,17,26.41768321,63.64698302,7.026795358999999,64.42177127,blackgram
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea
37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,apple
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
97,74,45,26.47522633,78.51833782,5.677719902000001,113.1161095,banana
9,10,10,22.3551049,93.52211892,6.010391864,101.5164589,orange
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
34,6,27,25.84726298,90.92669463,5.8607404810000014,147.8888994,coconut
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram
69,66,49,40.00439101,90.17015833,6.52711001,92.11877372,papaya
8,26,26,25.54759871,91.64194826,5.702484758,212.867626,coconut
10,9,28,29.01256899,94.01014388,6.282955072999999,150.05003119999995,coconut
2,78,23,21.31852148,66.43934593,7.320514721,45.42616802,lentil
2,79,15,21.53577883,65.47227704,7.505283615,35.75107592,lentil
42,58,25,27.45853567,62.90020977,6.513620917999999,69.46020927,blackgram
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,watermelon
27,63,19,20.93409877,21.1893007,5.562201934,133.1914419,kidneybeans
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea
28,123,198,23.46260321,91.45665004,5.682751473,111.7763395,apple
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,blackgram
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
62,49,37,24.21744605,82.85284045,7.479248124,166.13658859999995,jute
31,25,12,18.05142392,90.03969587,7.016482298,111.7793889,orange
33,12,15,30.25578031,92.03272799,6.052318465,116.7173125,orange
0,133,200,23.67287749,90.4935574,5.708418722,104.2298028,apple
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
80,43,43,23.78756036,74.36794079,6.014572075,172.64426540000005,jute
35,142,203,21.17089176,90.23730166,5.895319002000001,123.6495149,apple
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
18,12,35,26.13958446,96.38580769,6.338720873,131.3387935,coconut
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,pigeonpeas
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
13,16,8,34.74004942,93.12316972,6.949838549,100.1967854,orange
38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,apple
34,45,21,28.18837136,82.60629652,6.2873801170000005,37.01110438,mungbean
40,16,35,31.89356292,49.02450149,6.4841522000000005,89.59371481,mango
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
87,44,43,23.87484465,86.79261344,6.718725189,177.5147313,jute
104,80,54,27.09062164,81.33506906,5.879119455,110.1331182,banana
108,89,53,29.12036889,80.18080728,5.908770059,112.3982055,banana
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
99,15,27,27.41711238,56.63636248,6.086922359,127.92461000000002,coffee
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,coffee
77,48,36,25.86705009,84.09985284,7.36008498,154.83908469999997,jute
